1;0;0
2;0;0
3;1;0
4;0;1
5;1;0
6;0;0
7;1;0
8;0;1
9;1;0
10;1;1
11;0;0
12;1;1
13;1;1
14;0;0
15;1;0
16;1;1
17;1;1
18;1;0
19;0;0
20;0;0
21;0;1
22;0;0
23;0;0
24;0;0
25;1;0
26;0;0
27;1;0
28;0;1
29;1;1
30;0;1
31;1;0
32;0;1
33;1;0
34;1;0
35;0;1
36;0;1
37;0;1
38;1;0
39;1;1
40;1;1
41;0;0
42;1;1
43;0;0
44;0;0
45;0;0
46;0;0
47;1;0
48;0;1
49;0;1
50;1;1
51;1;0
52;0;0
53;1;1
54;0;1
55;0;1
56;1;0
57;1;0
58;0;1
59;1;1
60;0;0
61;0;1
62;0;1
63;1;0
64;1;0
65;0;0
66;1;1
67;0;1
68;0;1
69;0;1
70;1;0
71;0;1
72;0;0
73;1;1
74;1;0
75;1;1
76;0;0
77;0;1
78;1;0
79;1;1
80;1;1
81;1;0
82;1;1
83;0;0
84;1;1
85;0;1
86;1;1
87;0;1
88;1;1
89;0;0
90;0;1
91;1;0
92;1;0
93;1;0
94;0;1
95;0;1
96;1;0
97;0;1
98;0;1
99;1;1
100;0;1
101;1;0
102;0;1
103;0;1
104;0;0
105;0;1
106;0;0
107;0;0
108;0;0
109;1;0
110;1;0
111;1;0
112;0;1
113;0;1
114;0;0
115;0;1
116;0;1
117;0;1
118;0;0
119;0;1
120;0;1
121;1;0
122;0;0
123;1;1
124;0;1
125;0;1
126;1;1
127;1;1
128;1;0
129;0;0
130;1;0
131;0;1
132;1;0
133;0;1
134;1;0
135;0;0
136;1;0
137;0;1
138;1;0
139;1;1
140;1;0
141;0;1
142;0;0
143;0;0
144;0;0
145;1;1
146;0;0
147;1;0
148;1;0
149;1;1
150;0;1
151;1;0
152;0;1
153;1;0
154;0;0
155;0;0
156;0;1
157;0;0
158;0;1
159;1;1
160;1;1
161;0;1
162;1;1
163;1;0
164;0;0
165;0;0
166;0;0
167;0;0
168;1;1
169;0;1
170;0;1
171;0;1
172;1;0
173;0;1
174;0;1
175;0;0
176;1;1
177;0;0
178;1;0
179;0;1
180;1;0
181;1;0
182;1;0
183;1;1
184;0;0
185;0;1
186;0;1
187;0;1
188;0;0
189;1;1
190;1;0
191;0;1
192;0;0
193;1;1
194;1;0
195;0;1
196;0;0
197;0;1
198;0;1
199;1;1
200;0;0
201;0;0
202;1;1
203;0;0
204;0;0
205;0;0
206;1;1
207;0;0
208;0;0
209;1;0
210;1;0
211;0;1
212;1;1
213;0;1
214;0;1
215;0;0
216;1;1
217;1;0
218;0;0
219;1;1
220;1;1
221;0;1
222;0;1
223;0;1
224;1;0
225;0;1
226;0;1
227;0;0
228;1;1
229;0;0
230;0;0
231;0;0
232;1;1
233;0;1
234;0;1
235;1;1
236;0;0
237;0;1
238;1;0
239;1;1
240;1;1
241;0;0
242;0;1
243;1;1
244;1;0
245;0;1
246;0;0
247;1;1
248;0;0
249;1;1
250;0;0
