0;24;157;9
1;214;15;5
2;70;58;5
3;216;79;14
4;267;139;14
5;187;225;1
6;288;83;11
7;51;195;10
8;336;116;12
9;279;61;9
10;62;238;6
11;203;21;6
12;316;117;6
13;343;66;8
14;323;56;12
15;228;109;7
16;222;200;15
17;325;33;5
18;83;74;7
19;274;172;1
20;26;24;8
21;142;48;3
22;246;173;7
23;313;100;9
24;257;248;15
25;148;163;12
26;241;190;3
27;98;136;13
28;285;117;8
29;231;208;6
30;21;119;5
31;178;223;15
32;337;104;9
33;346;28;9
34;195;43;1
35;288;4;13
36;215;117;15
37;301;65;1
38;24;249;6
39;72;186;2
40;292;75;12
41;194;116;9
42;183;194;7
43;265;74;7
44;69;145;14
45;40;16;15
46;236;176;9
47;183;227;2
48;156;192;6
49;18;200;10
50;296;223;13
51;260;165;6
52;145;103;1
53;315;219;12
54;67;192;4
55;7;119;4
56;306;122;1
57;9;228;12
58;0;39;4
59;17;45;14
60;6;104;7
61;14;219;12
62;316;125;15
63;54;72;2
64;175;13;1
65;265;200;4
66;179;160;14
67;221;128;3
68;337;156;4
69;313;189;13
70;81;58;11
71;130;80;1
72;32;158;13
73;73;230;6
74;95;80;1
75;276;27;2
76;49;35;13
77;237;244;5
78;73;68;8
79;344;136;1
80;112;242;14
81;140;206;7
82;189;15;5
83;250;136;6
84;97;95;6
85;113;172;5
86;327;192;9
87;316;99;6
88;32;26;1
89;194;227;8
90;316;78;8
91;269;215;12
92;235;87;8
93;176;137;15
94;140;141;10
95;221;201;6
96;241;164;11
97;136;169;12
98;79;96;6
99;148;8;7
100;209;124;5
101;72;205;6
102;269;100;0
103;328;55;0
104;262;172;9
105;335;216;13
106;198;4;2
107;47;77;6
108;97;2;8
109;89;222;8
110;280;69;1
111;350;114;0
112;216;206;12
113;224;223;11
114;287;55;3
115;28;63;4
116;149;36;7
117;218;234;9
118;35;97;2
119;145;200;14
120;286;187;1
121;344;136;11
122;42;212;15
123;197;60;0
124;172;247;5
125;297;46;10
126;18;155;15
127;235;234;11
128;334;175;5
129;21;94;8
130;1;192;8
131;202;248;10
132;135;96;7
133;272;240;7
134;272;249;0
135;317;118;2
136;243;7;0
137;137;26;8
138;128;4;6
139;102;191;1
140;133;109;12
141;186;1;7
142;315;103;8
143;268;71;2
144;195;174;6
145;220;17;5
146;39;87;7
147;20;150;7
148;161;217;5
149;167;165;11
150;209;214;6
151;34;235;13
152;183;124;1
153;343;161;15
154;330;177;3
155;10;153;15
156;145;40;2
157;210;91;7
158;147;141;2
159;131;6;13
160;237;98;4
161;251;3;12
162;172;66;10
163;30;100;9
164;65;43;7
165;49;0;9
166;298;123;6
167;111;52;8
168;151;114;1
169;82;71;0
170;237;40;15
171;48;42;2
172;129;122;9
173;80;215;15
174;171;63;13
175;256;78;12
176;229;237;12
177;2;153;10
178;2;168;0
179;288;70;14
180;82;105;6
181;206;98;8
182;346;153;1
183;348;188;14
184;55;214;13
185;53;16;13
186;67;210;3
187;241;114;6
188;139;89;6
189;259;1;7
190;90;196;9
191;13;37;9
192;283;211;2
193;21;16;11
194;263;35;12
195;276;196;7
196;251;28;10
197;16;122;6
198;323;72;14
199;40;233;1
200;136;13;7
201;8;36;0
202;150;85;13
203;271;86;5
204;95;176;4
205;327;207;0
206;308;230;11
207;144;71;9
208;268;76;11
209;83;142;5
210;157;61;12
211;84;171;1
212;36;143;14
213;78;171;11
214;143;48;5
215;243;19;5
216;342;75;2
217;342;155;5
218;160;125;4
219;235;27;8
220;195;75;2
221;316;50;4
222;266;192;5
223;230;219;0
224;339;214;6
225;135;250;3
226;287;224;12
227;345;242;1
228;100;163;14
229;95;250;9
230;199;55;12
231;55;151;3
232;197;55;6
233;230;187;11
234;190;140;2
235;71;131;14
236;200;59;0
237;291;107;13
238;251;137;2
239;211;183;5
240;26;109;12
241;226;145;8
242;198;20;6
243;94;226;10
244;250;125;4
245;346;91;4
246;239;13;8
247;218;48;7
248;340;69;13
249;338;220;3
250;321;221;0
251;263;185;9
252;3;0;5
253;322;127;0
254;339;121;3
255;242;0;14
256;68;128;12
257;324;248;15
258;95;27;1
259;157;231;14
260;338;116;3
261;138;74;4
262;268;151;1
263;183;110;7
264;269;130;10
265;322;202;1
266;25;139;5
267;31;171;5
268;200;60;7
269;245;235;9
270;171;171;2
271;40;213;8
272;108;114;14
273;71;103;14
274;197;61;15
275;163;124;1
276;31;182;7
277;110;174;7
278;47;43;1
279;307;6;7
280;95;179;3
281;338;77;15
282;123;228;3
283;226;144;0
284;144;71;12
285;81;0;8
286;5;197;12
287;51;208;14
288;65;247;8
289;255;191;4
290;85;116;11
291;1;62;1
292;148;197;13
293;338;82;10
294;62;24;8
295;70;101;13
296;117;158;15
297;139;130;7
298;1;17;3
299;221;227;0
300;322;140;4
301;222;73;11
302;105;238;9
303;167;60;0
304;13;75;1
305;332;242;0
306;112;207;10
307;76;61;14
308;217;67;1
309;51;231;14
310;70;63;4
311;333;196;8
312;340;105;9
313;56;125;0
314;84;166;12
315;148;229;1
316;267;82;15
317;37;234;15
318;51;249;11
319;196;123;13
320;247;245;15
321;251;155;1
322;145;10;12
323;224;45;7
324;49;102;5
325;251;250;1
326;97;88;1
327;99;207;10
328;206;94;9
329;210;123;9
330;296;48;2
331;72;54;0
332;156;77;1
333;284;118;11
334;167;42;0
335;232;21;0
336;191;174;15
337;9;10;12
338;214;65;1
339;277;250;4
340;213;15;0
341;313;131;8
342;233;45;4
343;2;215;5
344;338;110;8
345;266;216;5
346;241;239;6
347;96;37;8
348;314;121;10
349;253;97;13
350;11;239;14
351;245;240;1
352;218;24;2
353;253;249;5
354;123;207;1
355;127;26;5
356;302;244;7
357;122;154;1
358;81;224;9
359;36;225;11
360;72;35;7
361;16;89;14
362;268;7;3
363;242;229;4
364;37;5;5
365;149;239;12
366;330;101;9
367;312;167;0
368;145;128;11
369;119;166;11
370;190;65;15
371;173;117;1
372;179;212;14
373;149;183;9
374;159;91;14
375;164;179;9
376;131;147;8
377;338;109;0
378;83;123;5
379;210;248;4
380;246;168;6
381;195;222;10
382;155;78;8
383;160;214;11
384;9;151;15
385;151;180;13
386;179;200;9
387;120;107;12
388;292;237;6
389;322;61;7
390;332;246;2
391;254;213;12
392;89;45;12
393;130;89;4
394;238;154;1
395;336;149;15
396;270;132;13
397;100;123;1
398;167;146;6
399;1;20;9
400;306;172;1
401;268;181;8
402;268;4;12
403;309;227;5
404;21;67;6
405;229;44;4
406;76;128;7
407;31;185;3
408;251;199;3
409;308;147;2
410;133;98;15
411;176;198;15
412;332;120;14
413;185;61;4
414;66;138;6
415;341;239;1
416;8;121;5
417;64;99;0
418;285;244;14
419;142;218;0
420;119;13;11
421;273;46;9
422;99;174;9
423;174;120;1
424;243;191;0
425;9;131;6
426;58;195;4
427;269;21;6
428;294;135;1
429;321;201;2
430;176;114;0
431;8;218;15
432;227;76;3
433;237;94;8
434;227;73;9
435;91;96;7
436;230;92;12
437;135;248;10
438;160;54;15
439;271;43;10
440;258;112;5
441;298;139;7
442;190;201;14
443;300;173;10
444;291;106;14
445;133;99;12
446;253;232;3
447;169;212;9
